"id","word","normalized_word","cefr_level","pos","pos_vi","phonetic","risk_score","flags","sense_count","meaning_length","primary_meaning_vi","meaning_vi","example_en","example_vi"
"26139","flat","flat","B1","adjective","ngoại động từ","/flæt/","10","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING | LONG_PRIMARY_MEANING","41","867","dãy phòng (ở một tầng trong một nhà khối)","dãy phòng (ở một tầng trong một nhà khối); căn phòng, căn buồng; ngăn, gian; tầng; mặt phẳng; miền đất phẳng; lòng (sông, bàn tay...); miền đất thấp, miền đầm lầy; thuyền đáy bằng; rổ nông, hộp nông; ,  (ngành đường sắt) toa trần ((cũng) flat-car); phần phông đã đóng khung; dấu giáng; giày đề bằng; kẻ lừa bịp; ,  (thông tục) lốp bẹp, lốp xì hơi; chắp vá lại thành một mảnh; giữ cho vẻ trước sau như một; bằng phẳng, bẹt, tẹt; sóng soài, sóng sượt; nhãn; cùng, đồng (màu); nông; hoàn toàn, thẳng, thẳng thừng, dứt khoát; nhạt, tẻ nhạt, vô duyên; hả (rượu...); ế ẩm; không thay đổi, không lên xuống, đứng im (giá cả...); bẹp, xì hơi (lốp xe); bải hoải, buồn nản; không một xu dính túi, kiết xác; giáng; bằng, phẳng, bẹt; sóng sượt, sóng soài; hoàn toàn thất bại; hoàn toàn; thẳng, thẳng thừng, dứt khoát; nói thẳng với ai rằng; đúng; theo dấu giáng; làm bẹt, dát mỏng","She liked to walk in her flats more than in her high heels.",""
"24728","bit","bit","A2","noun","thời quá khứ & động tính từ quá khứ của bite","/bit/","10","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING | MISSING_EXAMPLE","30","586","miếng (thức ăn...)","miếng (thức ăn...); mảnh mẫu; một chút, một tí; đoạn ngắn (của một vai kịch nói, trong sách...); góc phong cảnh (thực hoặc vẽ); đồng tiền; đồ tạp nhạp; dần dần; từ từ; không còn là trẻ con nữa, lớn rồi; những em bé tội nghiệp; đồ đạc lắt nhắt tồi tàn; làm tròn bổn phận mình; đóng góp phần mình (vào việc nghĩa...); ngà ngà say; mind; không một tí nào; mũi khoan; đầu mỏ hàn; mũi kim; mỏ chìa khoá; hàm thiếc ngựa; sự kiềm chế; draw; chạy lồng lên (ngựa); nổi cơn tam bành; không tự kiềm chế được; đặt hàm thiếc (cho ngựa); làm cho (ngựa) quen hàm thiếc; kiềm chế, nén, hãm lại, kìm lại","",""
"24727","bill","bill","A2","noun","ngoại động từ","/bil/","10","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING | MISSING_EXAMPLE","29","566","cái kéo liềm (để tỉa cành cây trên cao)","cái kéo liềm (để tỉa cành cây trên cao); cái kích (một thứ vũ khí); mỏ (chim); đầu mũi neo; mũi biển hẹp; chụm mỏ vào nhau (chim bồ câu); coo; tờ quảng cáo; yết thị; hoá đơn; luật dự thảo, dự luật; giấy bạc; hối phiếu ((cũng) bill of exchange); sự thưa kiện; đơn kiện; thực đơn; chương trình; giấy kiểm dịch; hoá đơn vận chuyển; danh sách người chết trong chiến tranh; đáp ứng mọi yêu cầu, làm tất cả những gì cần thiết; đưa ra xử; thanh toán hoá đơn; không xử, bác đơn; đăng lên quảng cáo; để vào chương trình; dán quảng cáo, dán yết thị; làm hoá đơn; làm danh sách","",""
"24511","meet","meet","A1","verb","tính từ","/mi:t/","10","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING | LONG_PRIMARY_MEANING","20","557","cuộc gặp gỡ (của những người đi săn ở một nơi đã hẹn trước","cuộc gặp gỡ (của những người đi săn ở một nơi đã hẹn trước, của những nhà thể thao để thi đấu); gặp, gặp gỡ; đi đón; xin giới thiệu, làm quen (với người nào); gặp, vấp phải, đương đầu; đáp ứng, thoả mãn, làm vừa lòng; nhận, tiếp nhận; chịu đựng, cam chịu; thanh toán (hoá đơn...); gặp nhau; gặp gỡ, tụ họp, họp; gặp nhau, nối nhau, tiếp vào nhau, gắn vào nhau; tình cờ gặp; gặp phải, vấp phải (khó khăn...); được nghe thấy; được trông thấy; nhìn thấy (bắt gặp) ai đang nhìn mình; nhìn trả lại; thu vén tằn tiện để cuối tháng khỏi thiếu tiền; đúng, thích hợp","OK, let's arrange a meet with Tyler and ask him.",""
"26298","hidden","hidden","B1","adjective","ngoại động từ","/haid/","10","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING | DUPLICATE_PRIMARY_MEANING","15","398","da sống (chưa thuộc","da sống (chưa thuộc, mới chỉ cạo và rửa); da người; không có bất cứ một dấu vết gì; để cứu lấy tính mạng mình; cầu an bảo mạng; lột da; đánh đòn; Haiddơ (đơn vị đo ruộng đất từ 60 đến 120 mẫu Anh tuỳ theo từng địa phương ở Anh); nơi nấp để rình thú rừng; trốn, ẩn nấp, náu; che giấu, che đậy, giấu giếm; giữ kín (một điều gì); che khuất; giấu mặt đi vì xấu hổ, xấu hổ vì không dám ló mặt ra; bushel","hidden treasure; hidden talents",""
"26857","digest","digest","B2","noun","nội động từ","/'daidʤest /","10","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING | MISSING_EXAMPLE","11","386","sách tóm tắt (chủ yếu là luật)","sách tóm tắt (chủ yếu là luật); tập san văn học, tập san thời sự[di'dʤest]; phân loại, sắp đặt có hệ thống; tóm tắt có hệ thống; suy nghĩ kỹ càng, sắp xếp trong óc; tiêu hoá, làm tiêu hoá (thức ăn); hiểu thấu, lĩnh hội, tiêu hoá (những điều đã học...); đồng hoá (một vùng đất đai chinh phục được); nhịn, chịu đựng, nuốt (nhục...); ninh, sắc (một chất trong rượu...); tiêu, tiêu hoá được","",""
"25227","major","major","A2","adjective","nội động từ","/'meidʤə/","10","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING | MISSING_EXAMPLE","10","374","thiếu tá (lục quân)","thiếu tá (lục quân); con trai đến tuổi thành niên (21 tuổi); chuyên đề (của một sinh viên); người có địa vị cao hơn (trong một lĩnh vực nào đó); lớn (hơn), nhiều (hơn), trọng đại, chủ yếu; anh, lớn (dùng trong trường hợp có hai anh em cùng trường); trưởng; đến tuổi trưởng thành; chuyên đề (của một sinh viên); chuyên về (một môn gì), chọn chuyên đề, đỗ cao (về một môn học)","",""
"25140","inch","inch","A2","noun","động từ","/intʃ/","10","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING | MISSING_EXAMPLE","15","356","đảo nhỏ (Ê-cốt)","đảo nhỏ (Ê-cốt); insơ (đơn vị đo chiều dài Anh bằng 2, 54 cm); mức (nước, mưa...) một insơ; một chút, một chút xíu, một tí; một tấc (đất...); một bước; tầm vóc; dần dần; tí một; từng bước; về mọi mặt, hoàn toàn, hệt như; cho nó một thì nó vớ mười; cho nó được đằng chân nó sẽ lấn đằng đầu; suýt nữa, gần; đi lần lần, đi rất chậm, đi từng bước, dịch lần lần","",""
"24387","head","head","A1","noun","nội động từ","/hed/","9","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING","83","2281","cái đầu (người","cái đầu (người, thú vật); người, đầu người; (số nhiều không đổi) con (vật nuôi), đầu (vật nuôi); đầu óc, trí nhớ; năng khiếu, tài năng; chứng nhức đầu (thường là sau khi uống rượu say); vị trí đứng đầu, người đứng đầu, người chỉ huy, thủ trưởng (cơ quan), hiệu trưởng (trường học), chủ; vật hình đầu; đoạn đầu, phần đầu; bọt (cốc rượu bia); váng kem (trên mặt bình sữa...); ngòi (mụn, nhọt); gạc (hươu, nai); mũi (tàu); mũi biển; mặt ngửa (đồng tiền); đường hầm; nhà xí cho thuỷ thủ (ở mũi tàu); đề mục, chương mục, phần chính (trong một bài diễn thuyết...); loại; lúc nguy kịch; lúc gay go căng thẳng; cơn khủng hoảng; cột nước; áp suất; addle; nhồi nhét cái gì vào đầu ai; có thể làm được một cái gì một cách dễ dàng; ngập lút đến đầu đến cổ, ngập đến mang tai; mất trí, hoá điên; đánh vỡ đầu ai; đánh gục ai; đánh bại ai hoàn toàn; đầu gà còn hơn đuôi trâu; mua tranh được ai cái gì; khoẻ hơn ai nhiều; cao lớn hơn ai một đầu; ngẩng cao đầu; không hiểu đầu đuôi ra sao; làm chi ai mất đầu; eat; nghĩ rằng, đinh ninh rằng; muốn rằng; quên ai (cái gì) đi, không nghĩ đến ai (cái gì) nữa; thả dây cương ra cho ngựa đi tự do thoải mái; sáng suốt, có óc phán đoán, có óc suy xét; lộn phộc đầu xuống trước; vội vàng, hấp tấp; người đề xướng và lânh đạo (một phong trào...); mái tóc dày cộm; heel; giữ bình tĩnh, điềm tĩnh; above; hội ý với nhau, bàn bạc với nhau; lose; tiến lên, tiến tới; kháng cự thắng lợi; gàn gàn, hâm hâm; khôn ngoan trước tuổi; do mình nghĩ ra, do mình tạo ra; lập dị; talk; nói khó hiểu, làm cho ai không hiểu gì cả; suy đi tính lại cái gì trong óc, nghiền ngẫm cái gì trong óc; ý kiến tập thể bao giờ cũng sáng suốt hơn, ba ông thợ da bằng Gia Cát Lượng; làm đầu, làm chóp (cho một cái gì); hớt ngọn, chặt ngọn (cây) ((cũng) to head down); để ở đầu, ghi ở đầu (trong chương mục...); đứng đầu, chỉ huy, lânh đạo; đi đầu, dẫn đầu; đương đầu với, đối chọi với; vượt, thắng hơn (ai); đi vòng phía đầu nguồn (con sông...); đánh đầu, đội đầu (bóng đá); đóng đầy thùng; hướng (mũi tàu về phía nào); kết thành bắp (bắp cải); kết thành cụm đầu (hoa...); mưng chín (mụn nhọt); tiến về, hướng về, đi về (phía nào...); tiến lên trước để chặn bắt (ai) phải quay lại; to head back; chặn tránh (một vấn đề gì khi chịu bóng bằng cách hướng câu chuyện sang một vấn đề khác...)","Be careful when you pet that dog on the head; it may bite.",""
"24748","break","break","A2","noun","nội động từ","/breik/","9","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING","91","2209","xe vực ngựa (tập cho ngựa kéo xe)","xe vực ngựa (tập cho ngựa kéo xe); xe ngựa không mui; sự gãy, sự kéo, sự đứt, sự ngắt; chỗ vỡ, chỗ nứt, chỗ rạn; sự nghỉ, sự dừng lại, sự gián đoạn; giờ nghỉ, giờ ra chơi, giờ giải lao; sự cắt đứt (quan hệ), sự tuyệt giao; sự lỡ lời; sự lầm lỗi; sự vỡ nợ, sự bị phá sản; sự thay đổi (thòi tiết); sự thụt giá thình lình; dịp may, cơ hội; sự đổi giọng; sự chuyển âm vực; mục xen (vào chương trình đang phát) (rađiô, truyền hình); tia hy vọng; bình minh, rạng đông; làm gãy, bẻ gãy, làm đứt, làm vỡ, đập vỡ; cắt, ngắt, làm gián đoạn, ngừng phá; xua tan, làm tan tác; phạm, phạm vi, xâm phạm; truyền đạt, báo (tin); làm suy sụp, làm nhụt (ý chí...), làm mất hết; ngăn đỡ, làm yếu đi, làm nhẹ đi; làm cho thuần thục; tập luyện; đập tan; đàn áp, trấn áp; sửa chữa; mở, mở tung ra, cạy tung ra; gãy, đứt, vỡ; chạy tán loạn, tan tác; ló ra, hé ra, hiện ra; thoát khỏi; sổ ra; ((thể dục,thể thao)) buông ra (quyền Anh); suy nhược, yếu đi; suy sụp, sa sút, phá sản; thay đổi; vỡ tiếng, nức nở, nghẹn ngào (tiếng nói); đột nhiên làm; phá lên; cắt đứt quan hệ, tuyệt giao; phá mà vào, phá mà ra, xông vào nhà; phá cửa vào nhà, bẻ khoá vào nhà; trốn thoát, thoát khỏi; bẻ gãy, rời ra; đập vỡ, đạp tan, đạp đổ, xô đổ; sụp đổ, đổ vỡ tan tành; suy nhược, kiệt sức; làm sa sút, làm suy nhược (sức khoẻ, tinh thần...); vỡ nợ, phá sản, thất cơ lỡ vận; bị pan, bị hỏng (xe cộ); phân ra từng món (chi tiêu...); (hoá) phân nhỏ, phân tích; vỡ ra, nổ ra; vọt ra, bắn ra, tuôn ra; xông vào, phá mà vào (nhà...); ngắt (lời); chặn (lời); cắt ngang (câu chuyện); can thiệp vào; tập luyện (ngựa...); cho vào khuôn phép, dạy dỗ (trẻ con...); rời ra, lìa ra, long ra, bị gãy rời ra; ngừng sững lại, đột nhiên ngừng lại, thôi; cắt đứt quan hệ, tuyệt giao; bẻ ra, bẻ tung ra; nổ bùng, nổ ra; nổi mụn, sùi đỏ lên (mặt); trốn thoát, thoát khỏi, vượt (ngục...); kêu to, phá lên (cười...); mở và bốc dỡ (kho hàng...); kéo lên và mở tung ra (cờ); chạy toán loạn, tan tác, tản ra; giải tán (hội nghị, đám đông, mây...); chia lìa, chia ly, lìa nhau; nghỉ hè (trường học); sụt lở; làm sụt lở (đường sá); thay đổi (thời tiết); suy yếu đi (người); đập vụn, đập nát; ăn ở (nhà ai) được (ai) mời ăn; even; ice; lance; beck; nói (viết) sai ngữ pháp; wheel","The femur has a clean break and so should heal easily.",""
"24406","hold","hold","A1","noun","nội động từ","/hould/","9","POS_MISMATCH | MANY_SENSES | LONG_MEANING | NOISY_PRIMARY_MEANING","71","1889","khoang (của tàu thuỷ)","khoang (của tàu thuỷ); sự cầm, sự nắm giữ, sự nắm chặt; sự nắm được, sự hiểu thấu; ảnh hưởng; vật để nắm lấy; vật đỡ; chỗ dựa; đồn ải, thành luỹ, pháo đài; sự giam cầm; nhà lao, nhà tù; cầm, nắm, giữ, nắm giữ, giữ vững; giữ, ở (trong một tư thế nào đó); chứa, chứa đựng; giam giữ (ai); giữ, nén, nín, kìm lại; bắt phải giữ lời hứa; choán, xâm chiếm, thu hút, lôi cuốn; có ý nghĩ là, cho là, xem là, coi là; tin rằng; quyết định là (toà án, quan toà...); tổ chức, tiến hành; nói, đúng (những lời lẽ...); theo, theo đuổi, tiếp tục đi theo; (+ to,  by) giữ vững, giữ chắc ((nghĩa đen) & (nghĩa bóng)); tiếp tục, kéo dài, còn mãi, cứ vẫn; có giá trị, có hiệu lực, có thể áp dụng ((cũng) to hold good,  to hold true); ((thường) phủ định + with) tán thành; hold! đứng lại, dừng lại; đợi một tí!; ngăn lại, giữ lại, nén lại, kìm lại; giấu, giữ bí mật, giữ riêng (tin tức...); do dự, ngập ngừng; cố ngăn, cố nén; bắt lệ thuộc, bắt phụ thuộc, bắt phục tùng; áp bức; cúi (đầu); tiếp tục giữ, vẫn giữ, vẫn (ở trong hoàn cảnh nào...); đưa ra, đặt ra, nêu ra (một đề nghị...); nói; hò hét diễn thuyết ((thường) xấu); nói chắc, dám chắc; giam giữ; nén lại, kìm lại, dằn lại; giữ không cho lại gần; giữ cách xa; chậm lại, nán lại; nắm chặt, giữ chặt, bám chặt; giữ máy không cắt (dây nói); giơ ra, đưa ra; chịu đựng, kiên trì dai dẳng; không nhượng bộ, không đầu hàng (thành bị bao vây...); ,  (từ lóng) không cho, không từ chối cho (cái gì phải cho); để chậm lại, đình lại, hoàn lại; ở lại sau khi hết nhiệm kỳ; ở lại thêm nhiệm kỳ; gắn lại với nhau, giữ lại với nhau; gắn bó với nhau, đoàn kết với nhau; đưa lên, giơ lên; đỡ, chống đỡ; vẫn vững, vẫn duy trì; vẫn đứng vững, không ngã (ngựa); nêu ra, phô ra, đưa ra; chặn đứng (ô tô...) ăn cướp; làm đình trệ, làm tắc nghẽn (giao thông...); loof; đứng lại!; ngừng!; own; luôn luôn giơ cái gì đe doạ ai; kín không rò (thùng); đứng vững được (lập luận...)","Keep a firm hold on the handlebars.",""
